Creating 500 baboon threads...

Crossed: 139   | Waiting [E]: 429   | <---  1     | Waiting [W]: 431  
Crossed: 141   | Waiting [E]: 429   | --->  0     | Waiting [W]: 430  
Crossed: 141   | Waiting [E]: 428   | <---  1     | Waiting [W]: 430  
Crossed: 143   | Waiting [E]: 428   | --->  0     | Waiting [W]: 429  
Crossed: 143   | Waiting [E]: 427   | <---  1     | Waiting [W]: 429  
Crossed: 145   | Waiting [E]: 426   | <---  0     | Waiting [W]: 429  
Crossed: 146   | Waiting [E]: 426   | --->  1     | Waiting [W]: 427  
Crossed: 148   | Waiting [E]: 425   | <---  0     | Waiting [W]: 427  
Crossed: 148   | Waiting [E]: 425   | --->  2     | Waiting [W]: 425  
Crossed: 151   | Waiting [E]: 423   | <---  1     | Waiting [W]: 425  
Crossed: 153   | Waiting [E]: 423   | --->  0     | Waiting [W]: 424  
Crossed: 154   | Waiting [E]: 422   | <---  0     | Waiting [W]: 424  
Crossed: 155   | Waiting [E]: 422   | --->  0     | Waiting [W]: 423  
Crossed: 155   | Waiting [E]: 421   | <---  1     | Waiting [W]: 423  
Crossed: 157   | Waiting [E]: 421   | --->  1     | Waiting [W]: 421  
Crossed: 158   | Waiting [E]: 420   | <---  1     | Waiting [W]: 421  
Crossed: 160   | Waiting [E]: 420   | --->  0     | Waiting [W]: 420  
Crossed: 160   | Waiting [E]: 419   | <---  1     | Waiting [W]: 420  
Crossed: 162   | Waiting [E]: 419   | --->  0     | Waiting [W]: 419  
Crossed: 163   | Waiting [E]: 418   | <---  0     | Waiting [W]: 419  
Crossed: 164   | Waiting [E]: 418   | --->  0     | Waiting [W]: 418  
Crossed: 165   | Waiting [E]: 417   | <---  0     | Waiting [W]: 418  
Crossed: 165   | Waiting [E]: 415   | <---  2     | Waiting [W]: 418  
Crossed: 168   | Waiting [E]: 415   | --->  0     | Waiting [W]: 417  
Crossed: 168   | Waiting [E]: 414   | <---  1     | Waiting [W]: 417  
Crossed: 170   | Waiting [E]: 414   | --->  0     | Waiting [W]: 416  
Crossed: 170   | Waiting [E]: 413   | <---  1     | Waiting [W]: 416  
Crossed: 171   | Waiting [E]: 413   | --->  2     | Waiting [W]: 414  
Crossed: 174   | Waiting [E]: 412   | <---  0     | Waiting [W]: 414  
Crossed: 175   | Waiting [E]: 412   | --->  0     | Waiting [W]: 413  
Crossed: 175   | Waiting [E]: 411   | <---  1     | Waiting [W]: 413  
Crossed: 177   | Waiting [E]: 411   | --->  1     | Waiting [W]: 411  
Crossed: 178   | Waiting [E]: 410   | <---  1     | Waiting [W]: 411  
Crossed: 179   | Waiting [E]: 410   | --->  1     | Waiting [W]: 410  
Crossed: 180   | Waiting [E]: 409   | <---  1     | Waiting [W]: 410  
Crossed: 182   | Waiting [E]: 408   | <---  0     | Waiting [W]: 410  
Crossed: 183   | Waiting [E]: 408   | --->  0     | Waiting [W]: 409  
Crossed: 183   | Waiting [E]: 407   | <---  1     | Waiting [W]: 409  
Crossed: 185   | Waiting [E]: 407   | --->  0     | Waiting [W]: 408  
Crossed: 186   | Waiting [E]: 406   | <---  0     | Waiting [W]: 408  
Crossed: 188   | Waiting [E]: 406   | --->  0     | Waiting [W]: 406  
Crossed: 189   | Waiting [E]: 405   | <---  0     | Waiting [W]: 406  
Crossed: 190   | Waiting [E]: 405   | --->  0     | Waiting [W]: 405  
Crossed: 191   | Waiting [E]: 404   | <---  0     | Waiting [W]: 405  
Crossed: 192   | Waiting [E]: 404   | --->  0     | Waiting [W]: 404  
Crossed: 193   | Waiting [E]: 404   | --->  0     | Waiting [W]: 403  
Crossed: 194   | Waiting [E]: 403   | <---  0     | Waiting [W]: 403  
Crossed: 194   | Waiting [E]: 403   | --->  1     | Waiting [W]: 402  
Crossed: 196   | Waiting [E]: 402   | <---  0     | Waiting [W]: 402  
Crossed: 197   | Waiting [E]: 401   | <---  0     | Waiting [W]: 402  
Crossed: 198   | Waiting [E]: 401   | --->  0     | Waiting [W]: 401  
Crossed: 199   | Waiting [E]: 399   | <---  1     | Waiting [W]: 401  
Crossed: 201   | Waiting [E]: 398   | <---  0     | Waiting [W]: 401  
Crossed: 202   | Waiting [E]: 398   | --->  0     | Waiting [W]: 400  
Crossed: 203   | Waiting [E]: 398   | --->  1     | Waiting [W]: 398  
Crossed: 205   | Waiting [E]: 397   | <---  0     | Waiting [W]: 398  
Crossed: 206   | Waiting [E]: 397   | --->  1     | Waiting [W]: 396  
Crossed: 208   | Waiting [E]: 397   | --->  0     | Waiting [W]: 395  
Crossed: 210   | Waiting [E]: 395   | <---  0     | Waiting [W]: 395  
Crossed: 211   | Waiting [E]: 393   | <---  1     | Waiting [W]: 395  
Crossed: 213   | Waiting [E]: 393   | --->  0     | Waiting [W]: 394  
Crossed: 214   | Waiting [E]: 392   | <---  0     | Waiting [W]: 394  
Crossed: 215   | Waiting [E]: 392   | --->  0     | Waiting [W]: 393  
Crossed: 216   | Waiting [E]: 392   | --->  0     | Waiting [W]: 392  
Crossed: 217   | Waiting [E]: 391   | <---  0     | Waiting [W]: 392  
Crossed: 218   | Waiting [E]: 390   | <---  0     | Waiting [W]: 392  
Crossed: 219   | Waiting [E]: 390   | --->  0     | Waiting [W]: 391  
Crossed: 219   | Waiting [E]: 389   | <---  1     | Waiting [W]: 391  
Crossed: 221   | Waiting [E]: 389   | --->  1     | Waiting [W]: 389  
Crossed: 223   | Waiting [E]: 388   | <---  0     | Waiting [W]: 389  
Crossed: 224   | Waiting [E]: 388   | --->  0     | Waiting [W]: 388  
Crossed: 224   | Waiting [E]: 387   | <---  1     | Waiting [W]: 388  
Crossed: 226   | Waiting [E]: 387   | --->  0     | Waiting [W]: 387  
Crossed: 227   | Waiting [E]: 386   | <---  0     | Waiting [W]: 387  
Crossed: 228   | Waiting [E]: 385   | <---  0     | Waiting [W]: 387  
Crossed: 229   | Waiting [E]: 385   | --->  0     | Waiting [W]: 386  
Crossed: 229   | Waiting [E]: 384   | <---  1     | Waiting [W]: 386  
Crossed: 231   | Waiting [E]: 384   | --->  0     | Waiting [W]: 385  
Crossed: 233   | Waiting [E]: 383   | --->  0     | Waiting [W]: 384  
Crossed: 233   | Waiting [E]: 382   | <---  1     | Waiting [W]: 384  
Crossed: 236   | Waiting [E]: 382   | --->  0     | Waiting [W]: 382  
Crossed: 236   | Waiting [E]: 381   | <---  1     | Waiting [W]: 382  
Crossed: 238   | Waiting [E]: 381   | --->  0     | Waiting [W]: 381  
Crossed: 239   | Waiting [E]: 380   | <---  0     | Waiting [W]: 381  
Crossed: 240   | Waiting [E]: 379   | <---  1     | Waiting [W]: 380  
Crossed: 241   | Waiting [E]: 378   | <---  1     | Waiting [W]: 380  
Crossed: 242   | Waiting [E]: 378   | --->  2     | Waiting [W]: 378  
Crossed: 245   | Waiting [E]: 377   | <---  0     | Waiting [W]: 378  
Crossed: 245   | Waiting [E]: 377   | --->  1     | Waiting [W]: 377  
Crossed: 247   | Waiting [E]: 376   | <---  0     | Waiting [W]: 377  
Crossed: 247   | Waiting [E]: 375   | <---  1     | Waiting [W]: 377  
Crossed: 248   | Waiting [E]: 375   | --->  2     | Waiting [W]: 375  
Crossed: 251   | Waiting [E]: 374   | <---  0     | Waiting [W]: 375  
Crossed: 252   | Waiting [E]: 374   | --->  0     | Waiting [W]: 374  
Crossed: 252   | Waiting [E]: 373   | <---  1     | Waiting [W]: 374  
Crossed: 254   | Waiting [E]: 373   | --->  0     | Waiting [W]: 373  
Crossed: 255   | Waiting [E]: 373   | --->  0     | Waiting [W]: 372  
Crossed: 256   | Waiting [E]: 372   | <---  0     | Waiting [W]: 372  
Crossed: 257   | Waiting [E]: 372   | --->  0     | Waiting [W]: 371  
Crossed: 257   | Waiting [E]: 371   | <---  1     | Waiting [W]: 371  
Crossed: 259   | Waiting [E]: 370   | <---  0     | Waiting [W]: 371  
Crossed: 260   | Waiting [E]: 370   | --->  0     | Waiting [W]: 370  
Crossed: 260   | Waiting [E]: 369   | <---  1     | Waiting [W]: 370  
Crossed: 262   | Waiting [E]: 368   | <---  0     | Waiting [W]: 370  
Crossed: 263   | Waiting [E]: 368   | --->  1     | Waiting [W]: 368  
Crossed: 264   | Waiting [E]: 367   | <---  1     | Waiting [W]: 368  
Crossed: 266   | Waiting [E]: 367   | --->  0     | Waiting [W]: 367  
Crossed: 267   | Waiting [E]: 366   | <---  0     | Waiting [W]: 367  
