
Generating 500 search-insert-delete triplets... 
Critical Section: Searchers: 117 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 117 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 118 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 118 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 119 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 120 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 120 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 121 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 122 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 123 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 123 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 124 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 125 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 126 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 127 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 128 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 128 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 129 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 130 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 131 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 132 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 133 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 133 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 134 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 134 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 135 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 135 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 136 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 137 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 138 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 138 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 139 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 140 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 141 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 142 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 142 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 143 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 144 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 145 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 146 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 146 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 147 |Inserters: 0 | Deleters: 0
